source_rank,player_id,source_name,source_page_url,image_url,source_type,confidence,review_status,review_note
84,6072,Trey Kaufman-Renn,https://purduesports.com/sports/mens-basketball/roster/trey-kaufman-renn/14422,https://purduesports.com/imgproxy/th6JKlVUb4Df2p712l-jGlgBOGjuVsu1QSmbtFohKgE/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3B1cmR1ZXNwb3J0cy1jb20tcHJvZC8yMDI1LzA5LzEwL1ZKZ1hETlkybjNGTDFSMExYYTk0eW5zWnRjSFR1ZW8xMWxxYWNGdVIuanBn.jpg,official_roster_image,high,accepted,Purdue roster image for Trey Kaufman-Renn.
86,6073,Joshua Dix,https://gocreighton.com/sports/mens-basketball/roster/josh-dix/8578,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fcreighton.sidearmsports.com%2Fimages%2F2025%2F6%2F20%2F06-04_JoshDixHeadshot-1.jpg&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Creighton roster headshot for Josh Dix.
87,5618,John Blackwell,https://uwbadgers.com/sports/mens-basketball/roster/john-blackwell/14412,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuwbadgers.com%2Fimages%2F2025%2F8%2F21%2F34788941_MBB-20250807-HEADSHOT-25-John_Blackwell_JPG_Erik_Role_20250808_012753.JPG&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Replaces unrelated Wikimedia PDF URL with Wisconsin roster headshot.
89,6074,Elijah Mahi,https://santaclarabroncos.com/sports/mens-basketball/roster/elijah-mahi/9121,https://santaclarabroncos.com/images/2025/9/25/mahiDJR13648.JPG,official_roster_image,high,accepted,Santa Clara roster image for Elijah Mahi.
90,6075,Lamar Wilkerson,https://iuhoosiers.com/sports/mens-basketball/roster/wilkerson-lamar/20211,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fiuhoosiers.com%2Fimages%2F2025%2F10%2F3%2F3_Lamar_Wilkerson_2klbn.jpg&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Indiana roster headshot for Lamar Wilkerson.
98,6076,Jordan Burks,https://ucfknights.com/sports/mens-basketball/roster/player/jordan-burks,https://ucfknights.com/imgproxy/3u8Wisf9u1OvoYPXmjwLQHyBRHLEzQc8k0lu-teUc1U/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VjZmtuaWdodHMtY29tLXByb2QvMjAyNS8xMC8xMy9GUDFhRkpVR3A0RGFRV2d4MU9sb2x2eW9yY1kwOVB5aFI4RVdETGtWLmpwZw.jpg,official_roster_image,high,accepted,UCF roster image for Jordan Burks.
99,6077,Fletcher Loyer,https://purduesports.com/sports/mens-basketball/roster/fletcher-loyer/14424,https://purduesports.com/imgproxy/2D4Dfn-YtTSa8hmyUEccbTEWVMb4IOgDOV72ps49gKw/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3B1cmR1ZXNwb3J0cy1jb20tcHJvZC8yMDI1LzA5LzEwL3QzR3RyV0hBZmNCMzRFdWY5Y2VJOEVFOG9aRTZHandndXdlc3NGTUMuanBn.jpg,official_roster_image,high,accepted,Purdue roster image for Fletcher Loyer.
19,5563,Allen Graves,https://santaclarabroncos.com/sports/mens-basketball/roster/allen--graves/9118,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/santaclara.sidearmsports.com/images/2025/9/25/gravesDJR13641.JPG,official_roster_headshot,high,accepted,Replaces unrelated 1839 Wikimedia evangelist PDF with Santa Clara 2025-26 roster headshot.
30,5679,Tyler Tanner,https://vucommodores.com/roster/tyler-tanner/,https://vucommodores.com/wp-content/uploads/2025/07/3_Tanner_Tyler-420x640.jpg,official_roster_headshot,high,accepted,Replaces wrong-person Wikimedia 2018 'Evergreen' photo with Vanderbilt 2025-26 roster headshot (jersey #3).
7,5708,Kingston Flemings,https://uhcougars.com/sports/mens-basketball/roster/kingston-flemings/9545,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uhcougars.com/images/2025/8/30/Flemings_Kingston_UfWq4.jpg,official_roster_headshot,high,accepted,Houston 2025-26 roster headshot.
8,5389,Mikel Brown Jr.,https://gocards.com/sports/mens-basketball/roster/mikel-brown-jr/16178,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/gocards.com/images/2025/9/22/Mikel_Brown_Jr._-_Cropped.png,official_roster_headshot,high,accepted,Louisville 2025-26 official cropped portrait.
10,5456,Hannes Steinbach,https://gohuskies.com/sports/mens-basketball/roster/hannes-steinbach/17110,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/washington.sidearmsports.com/images/2025/9/29/6_Hannes_Steinbach.png,official_roster_headshot,high,accepted,Washington 2025-26 roster image.
12,1709,Labaron Philon,https://rolltide.com/sports/mens-basketball/roster/labaron-philon-jr-/15265,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/rolltide.com/images/2025/8/27/Philon_Labaron_2025_web.JPG,official_roster_image,high,accepted,Alabama 2025-26 posed portrait.
15,5387,Chris Cenac Jr.,https://uhcougars.com/sports/mens-basketball/roster/chris-cenac-jr/9544,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uhcougars.com/images/2025/8/30/Cenac_Jr_eXMJO.jpg,official_roster_headshot,high,accepted,Houston 2025-26 roster headshot.
16,5605,Karim Lopez,https://www.nbl.com.au/players/karim-lopez,https://cdn.prod.website-files.com/64a50350adad23f0f1ef8f43/696872eeee30b97ee613b050_118cfd2424224238b8224373d4f789a8.webp,official_roster_headshot,high,accepted,NBL official player page portrait (NZ Breakers Next Star).
17,5509,Isaiah Evans,https://goduke.com/sports/mens-basketball/roster/isaiah-evans/23104,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/goduke.com/images/2025/9/15/Headshots_4x6_Evans__Isaiah_xGUD0.jpg,official_roster_headshot,high,accepted,Duke 2025-26 4x6 headshot.
18,5647,Meleek Thomas,https://arkansasrazorbacks.com/roster/meleek-thomas/,https://arkansasrazorbacks.com/wp-content/uploads/2025/09/Meleek-Thomas-Mug-MBB-2025-26-5743.jpg,official_roster_headshot,high,accepted,Arkansas 2025-26 roster mug/headshot.
20,5578,Bennett Stirtz,https://hawkeyesports.com/sports/mbball/roster/player/bennett-stirtz,https://hawkeyesports.com/imgproxy/Z1BM2jqCO3a84iaefrkiV7pRrzfA3VTUDkXt3dE6XEM/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2hhd2tleWVzcG9ydHMtcHJvZC8yMDI1LzEwLzE3L21iejQxczRJNmZFUmc5Z3VjMndoeGVuRWVCOHRnSDBXc3oyUDI5c2suanBn.jpg,official_roster_image,medium,accepted,Iowa 2025-26 roster og:image (visual sanity-check recommended).
22,5388,Joshua Jefferson,https://cyclones.com/sports/mens-basketball/roster/joshua-jefferson/13859,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/isuni.sidearmsports.com/images/2025/7/10/Joshua_Jefferson_2025-26_Headshot.jpg,official_roster_headshot,high,accepted,Iowa State 2025-26 explicit headshot.
24,5478,Jayden Quaintance,https://ukathletics.com/sports/mbball/roster/player/jayden-quaintance/,https://storage.googleapis.com/ukathletics-com/2025/07/56d32984-2025_jayden_quaintance_02cb-scaled-e1757688171569.jpg,official_roster_headshot,high,accepted,Kentucky 2025-26 posed portrait.
26,5465,Dailyn Swain,https://texaslonghorns.com/sports/mens-basketball/roster/dailyn-swain/15038,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/texassports_com/images/2025/9/28/Dailyn_Swain_2025.jpg,official_roster_headshot,high,accepted,Texas 2025-26 roster portrait.
29,5674,Ebuka Okorie,https://gostanford.com/sports/mens-basketball/roster/player/ebuka-okorie,https://gostanford.com/imgproxy/rCJ-6hSWHGbHMc5Y3AKTm1QmLE4VVQy58uEn42Kior0/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3N0YW5mb3JkLXByb2QvMjAyNS8wOS8xOC9MZmhucVV1Y09DRWFYMEdmSDZqQ1BmZ0kzRGwxcWd6UVdJb0hxSEFLLmpwZw.jpg,official_roster_headshot,high,accepted,Stanford 2025-26 roster portrait.
